"","Description.of.incident","Information.Source"
"1","The company's website was breached sometime around February 19 by a hacker in an attempt to gain access to certain customers' private information. Social Security numbers, names, addresses, bank account names and bank account numbers may have been compromised. At least 88 individuals were affected.","California Attorney General"
"2","The December 29, 2011 theft of a laptop from a parked car in San Francisco resulted in the loss of personal information.  The information was being used in preparation for a merger between SF Fire Credit Union and Pacifica-Coastside Credit Union.  Current and former account holders had their names, Social Security numbers, dates of birth, addresses, and Pacifica-Coastside Credit Union account information.","California Attorney General"
"3","BDO was contracted by Rubio's to perform financial auditing services.  A BDO employee accidentally removed one or more CD-ROMs from the office.  The CD-ROM or CD-ROMs contained a list of Rubio's workers' compensation claimants and a list of people who owned equity shares in Rubio's Restaurants, Inc.  The CD-ROM or CD-ROMS appear to have been stolen from the BDO employee's vehicle.  The workers' compensation information contained names, claim numbers, medical status, and date of loss.  The medical status information included the employees' claim for injuries or illnesses.  No Social Security numbers were involved.  The partial equity roll list contained names and Social Security numbers.","California Attorney General"
"4","On February 10, 2012, DHI Mortgage became aware that a software security breach by external sources had occurred in its Internet Loan Prequalification System.  DHI Mortgage immediately isolated the affected server, purged certain affected files, and modified the electronic security measures.  People who provided their information online for pre-qualification may have had their names, Social Security numbers, dates of birth, contact information, marital status, employment information, income, asset information, and liability information exposed.","California Attorney General"
"5","An office burglary on New Year's Eve 2011 resulted in the loss of hardware that contained sensitive personal information.  The full names, addresses, Social Security numbers, and medical information of clients were on the hardware.  Impairment Resources notified patients in February and then filed for bankruptcy in March. The high cost of handling the breach led directly to the decision to file for bankruptcy.","California Attorney General"
"6","RJL Insurance Services became aware of a vulnerability in its computer network that may have resulted in the exposure of some electronic files.  The information was secured, but some RJL files were accessible for a period of two weeks in late September and early October of 2011.  Client names, Social Security numbers, driver's license numbers, and medical conditions may have been exposed.  ","California Attorney General"
"7","Someone purchased a hard drive in September of 2011 and immediately notified law enforcement that it contained confidential information.  The external hard drive did not come from a Kaiser Permanente office.  It contained employee data that was as recent as 2009.  Current and former employees may have had their names, Social Security numbers, dates of birth, and addresses exposed. There is no evidence that the information from the hard drive was used for illegal purposes as of March of 2012.UPDATE (3/22/2012): The external hard drive was purchased at a thrift store.  Phone numbers, pay stubs, COBRA Error, Trust Fund Paid Hours, or Fidelity Savings Plan Deduction reports may have also been on the hard drive.UPDATE (4/16/2012): At least one source lists the total number of affected current and former employees as 30,000.UPDATE (2/4/2014): Attorney General Kamala Harris has agreed to drop a data breach lawsuit against the Oakland based managed care provider, Kaiser, if they agreed to a $150,000 fine paid to the state and improved their information handling practices.Originally the suite contended that the health care provider violated the three-month notification law. Kaiser learned of the violation in December 2011 but did not send letters to 20,539 affected Californians until mid-March 2012. The law requires data-holders disclose any breach ""in the most expedient time possible and without unreasonable delay"".  ","California Attorney General"
"8","A security company searching the web for sensitive data uncovered personally identifiable information from IndyMac Bank and Indy Mac Resources employees, and possibly others associated with the firms.  IndyMac Bank failed sometime around July of 2008.  The information is related to IndyMac employee pension benefits analysis and appears to have been placed on a public web server by an employee of a contractor for IndyMac.  People who were employed by either IndyMac firm between January 1, 1999 and January 1, 2005 had their names, Social Security numbers, dates of birth, earnings, hire dates, and other employment related information exposed.  It was available as early as January of 2007 and as recently as December of 2011.  ","California Attorney General"
"9","A hacker was able to access the names, mailing addresses, email addresses, dates of birth, usernames, passwords, phone numbers, and credit card details of customers.  The breach occurred and was detected on Sunday, March 25.  Manhattan Prep removed all credit card information previously associated with compromised customer accounts from their database.  Customer account passwords were automatically reset.  Customers were also encouraged to change any passwords that were used for both Manhattan Prep and other accounts.  ","California Attorney General"
"10","A storeroom window at Saint Joseph's HealthCare Clinical Laboratory (HCCL) was discovered broken on February 2, 2012.  Two storage boxes containing HCCL lab requisition forms were missing from the center.  People who received laboratory services between October 24, 2011 and November 18, 2011, between December 13, 2012 and January 5, 2012, and also between January 17, 2012 and January 31, 2012, may have had their names, Social Security numbers, phone numbers, addresses, and insurance information exposed.UPDATE (4/26/2012): At least 700 patients were affected.  Two boxes were discovered missing immediately after the robbery and a third was discovered missing on March 16.","California Attorney General"
"11","On or around March 6, a spreadsheet containing the names and contact information of active and retired Local 522 members was sent by a Local 522 employee to the Sacramento Central Labor Council (CLC).  The spreadsheet contained member Social Security numbers, but was only supposed to provide member mailing addresses.  The email did not stop at CLC and was forwarded to Capitol Mailing, Inc.  The mistake was discovered on March 23 after Local 522 members received mailing labels that displayed their Social Security numbers.  ","California Attorney General"
"12","The San Francisco Head Start/Early Head Start database was accessed by one or more unauthorized parties between August 2011 and November 2011.  Names, Social Security numbers, addresses, contact information, health data, dates of birth, and other personal information may have been exposed.  Head Start claimed that the delay in notification of the breach was due to an ongoing law enforcement investigation.  It is unclear how San Francisco State University was involved.","California Attorney General"
"13","Opening Ceremony discovered that an inadvertent breach of security resulted in the exposure of customer names, addresses, credit card numbers, credit card expiration dates, and credit card security codes.  The breach was discovered sometime in March and first occurred on or around February 16, 2012.UPDATE (5/11/2012): The breach lasted between February 16 and March 21 of 2012. Malware was discovered on the website on March 21.  Affected customers were mailed notification letters on May 4.  Either the credit card information was stored in an unencrypted format on the site in violation of Payment Card Industry Data Security Standard (PCI-DSS) practices, or a hacker was able to place something on the site to get credit card information after it was transmitted. It is more likely that Open Ceremony, an online clothing retailer, was not in compliance with PCI.","California Attorney General"
"14","On March 6, 2012, an investigation confirmed that an employee of an unnamed State Farm office may have used customer information in an inappropriate manner.  An unknown number of customers may have had their names, addresses, credit card numbers, and Social Security numbers misused by the dishonest employee.","California Attorney General"
"15","On February 15, 2012, Union Bank discovered that a former contractor kept proprietary bank data in his possession after leaving the company on January 31, 2012.  The bank data included some customer information such as names, account numbers, home addresses, phone numbers, and email addresses.","California Attorney General"
"16","A hacker or hackers were able to intercept customer information online between August 22 and September 28 of 2011.  Customers who were affected may have had their login, password, and credit card information obtained.  Anyone who used the same login and password combination for reuseit.com and other websites should change their password.  ","California Attorney General"
"17","On March 23, 2012, X-Rite learned that a database server had been attacked by a malicious third party.  The names, contact information, and credit card information of customers who made purchases on X-Rite's website pantone.com may have been exposed.  ","California Attorney General"
"18","Computer equipment that contained patient insurance information was taken during an office burglary.","California Attorney General"
"19","On March 23, 2012, an employee sent an unencrypted document to the personal emails of herself and her son.  The document contained the first names of customers and their Social security numbers.  Cigna became aware of the incident on March 27 and took immediate action.  The employee claimed that she had sent the document to obtain help with work from her son. She confirmed that both she and her son had deleted the email and was fired.","California Attorney General"
"20","An April 12, 2012 office burglary resulted in the theft of a laptop with sensitive information. The computer assigned to the receptionist was stolen and contained a spreadsheet with client name, client status (active, discharged, etc.), internal client identification number, date of birth, and assigned staff person.  However the document was not labeled as a D.A.P. document. If someone saw the spreadsheet by itself they would not know it was linked to D.A.P.UPDATE (05/30/2013): Approximately 4,400 patients were affected.","California Attorney General"
"21","An unauthorized person or persons was able to access electronically-stored information relevant to BullMarket.com.  User names, credit card information, billing addresses, email addresses, and/or login information were compromised.  The breach occurred sometime between April 3 and April 7, 2012 and was discovered on April 11. Information as recent as June 2005 may have been exposed, but users with recent information appear to have not been affected.","California Attorney General"
"22","An April 1, 2012 office burglary resulted in the theft of computer equipment with sensitive information.  A server that contained customer names and Social Security numbers or driver's license numbers was stolen. Additional information related to customer applications was also on the server.","California Attorney General"
"23","An unknown number of customers had their personal information entered into the wrong field in a database.  The information should have been encrypted but was not because of the error. Customers may have received mail with their credit card number, driver's license number, Social Security number, passport number, or any combination of these elements printed on the outside of envelopes. The issue was discovered in late December of 2011.","California Attorney General"
"24","On April 2, 2012, Incorporating Services learned that one of their servers was compromised by a malware attack.  Incorporating Services began investigating the breach after being informed by their internet hosting vendor and discovered that malicious software had allowed an unauthorized party to access data stored on the server.  Corporate officer Social Security numbers and names may have been exposed.UPDATE (6/06/2012): Rackspace has been identified as the internet hosting vendor.  Social Security numbers, credit card payment information such as expiration date and CVV, and possibly Automatic Clearing House (ACH) payment information were compromised.","California Attorney General"
