players,match1,match2,match3,match4,match5,match6,match7,match8,match9,match10
David Warner,81,37,57,67,50,51,70,15,10,100
Lokesh Rahul,4,1,71,15,55,71,100,8,52,12
Shikhar Dhawan,43,51,16,30,12,0,97,7,35,56
Jonny Bairstow,39,45,114,48,16,1,41,61,80,0
Shreyas Iyer,16,18,43,28,43,67,6,45,3,58
Ajinkya Rahane,12,105,34,39,2,14,26,12,105,12
Quinton de Kock ,27,23,60,4,19,24,81,40,35,65
Hardik Pandya,0,32,31,25,14,19,28,37,32,23
MS Dhoni,32,75,12,37,58,16,84,44,10,37
Shane Watson ,0,44,13,5,26,17,0,6,31,5
