,node,at_point_10,at_point_25,at_point_40,at_point_50,at_point_80
1,897,2909,3658,3860,3947,4024
2,903,3027,3687,3884,3889,4010
3,958,2939,3725,3848,3943,4020
4,976,2922,3694,3879,3946,4019
5,982,2920,3713,3833,3880,4023
6,1010,2555,3722,3868,3959,4017
7,1020,2584,3671,3890,3939,4015
8,1022,2940,3542,3833,3951,4014
9,1037,2711,3511,3889,3951,4021
10,1061,2942,3737,3886,3952,4022
11,1068,2967,3560,3893,3930,4012
12,1083,2945,3653,3903,3951,4023
13,1101,2889,3499,3920,3951,4018
14,1105,2883,3694,3904,3891,4022
15,1121,3076,3530,3661,3942,4022
16,1130,2921,3517,3893,3906,4009
17,1149,3080,3529,3888,3891,4015
18,1159,3061,3711,3887,3957,4018
19,1193,2884,3742,3885,3949,4022
20,1205,2927,3713,3890,3897,4023
21,1228,2537,3698,3881,3944,4020
22,1232,3018,3499,3895,3938,4022
23,1236,2967,3551,3855,3944,4020
24,1258,2915,3503,3881,3928,4017
25,1278,2960,3521,3890,3913,4019
26,1280,3037,3705,3898,3940,4022
27,1285,2910,3669,3825,3962,4022
28,1293,2735,3677,3855,3958,4014
29,1299,2939,3672,3889,3938,4023
30,1323,2932,3706,3887,3925,4015
31,1346,2914,3679,3913,3911,4021
32,1348,2925,3747,3842,3954,4012
33,1380,2903,3501,3845,3945,4019
34,1405,2723,3511,3879,3938,4021
35,1414,2967,3526,3716,3947,4018
36,1424,2866,3713,3874,3947,4021
37,1427,2601,3690,3840,3959,4019
38,1433,2780,3533,3883,3953,4018
39,1449,2931,3709,3899,3943,4015
40,1460,2917,3704,3708,3955,4020
41,1463,2591,3721,3900,3949,4027
42,1476,2911,3691,3887,3895,4028
43,1480,2956,3547,3877,3894,4023
44,1574,2607,3688,3886,3968,4015
45,1577,2910,3715,3902,3950,4015
46,1584,2884,3695,3882,3937,4019
47,1588,2943,3485,3885,3901,4018
48,1592,2937,3696,3706,3947,4014
49,1597,2939,3680,3832,3935,4018
50,1612,2584,3705,3865,3944,4021
51,1629,2932,3680,3899,3947,4017
52,1637,2885,3672,3892,3939,4018
53,1648,2974,3655,3843,3949,4014
54,1656,2890,3693,3821,3931,4016
55,1681,2735,3678,3841,3958,4023
56,1692,2882,3480,3876,3943,4023
57,1716,2936,3679,3713,3954,4021
58,1717,2945,3665,3883,3954,4017
59,1842,3071,3688,3898,3951,4019
60,1858,2936,3754,3891,3960,4015
61,1860,2903,3673,3891,3879,4020
62,1863,2933,3659,3908,3951,4024
63,1873,2960,3483,3891,3942,4019
64,1900,3042,3645,3853,3942,4017
65,2111,2943,3674,3890,3939,4020
66,2662,2908,3690,3845,3945,4023
67,2675,2901,3709,3681,3953,4017
68,2682,2916,3548,3854,3944,4014
69,2720,3021,3687,3894,3896,4030
70,2730,3048,3665,3873,3957,4022
71,2743,2904,3688,3840,3962,4018
72,2744,2867,3678,3884,3961,4014
73,2766,2967,3560,3875,3958,4019
74,2771,2729,3710,3641,3936,4016
75,2779,2948,3549,3885,3942,4006
76,2794,2881,3679,3889,3896,4021
77,2829,2959,3724,3892,3962,4020
78,2834,3068,3681,3896,3941,4019
79,2836,2891,3683,3825,3942,4023
80,2850,3009,3717,3857,3940,4010
81,2854,2898,3740,3917,3935,4018
82,2864,2920,3476,3876,3937,4015
83,2870,2928,3508,3892,3903,4015
84,2940,2889,3529,3884,3942,4013
85,2971,2919,3698,3896,3953,4018
86,2974,2947,3534,3844,3960,4019
87,2992,2936,3484,3688,3949,4014
88,2993,2898,3538,3897,3946,4018
89,3015,2910,3721,3834,3946,4022
90,3022,2911,3673,3891,3900,4022
91,3036,2750,3673,3904,3945,4019
92,3050,2992,3539,3837,3941,4017
93,3071,2939,3680,3872,3948,4018
94,3083,2896,3476,3837,3945,4019
95,3102,3057,3696,3885,3941,4016
96,3103,2851,3695,3888,3933,4019
97,3117,3002,3513,3888,3891,4016
98,3121,2926,3669,3703,3949,4017
99,3133,2890,3679,3844,3959,4013
100,3147,2724,3698,3827,3941,4022
101,3151,2860,3699,3861,3940,4028
102,3153,2892,3500,3894,3950,4020
103,3159,2756,3685,3854,3924,4017
104,3170,2910,3682,3872,3698,4020
105,3202,2909,3559,3833,3938,4013
106,3207,2911,3665,3898,3941,4023
107,3240,2919,3687,3854,3947,4020
108,3248,2916,3481,3706,3945,4021
109,3253,2910,3716,3840,3950,4018
110,3266,2920,3690,3865,3932,4014
111,3268,3028,3535,3835,3892,4022
112,3278,2907,3527,3818,3930,4021
113,3281,2928,3680,3886,3908,4017
114,3292,2895,3673,3908,3947,4018
115,3298,3078,3691,3913,3897,4021
116,3331,2915,3712,3653,3902,4016
117,3345,2924,3495,3892,3957,4016
118,3348,2927,3695,3863,3942,4022
119,3352,3046,3704,3899,3943,4020
120,3382,2951,3675,3834,3944,4017
121,3392,2927,3521,3895,3936,4027
122,3398,2948,3509,3890,3901,4016
123,3417,2913,3694,3895,3941,4020
124,3420,2591,3684,3878,3948,4021
125,3435,3053,3518,3832,3953,4014
126,3436,2910,3697,3846,3937,4026
