"","node","inspow"
"1",1069,2548
"2",1196,2742
"3",1438,2931
"4",1685,3040
"5",1833,2918
"6",2665,2905
"7",2667,3035
"8",2670,2910
"9",2677,2965
"10",2680,2944
"11",2690,2928
"12",2695,2893
"13",2699,3032
"14",2718,3067
"15",2751,2407
"16",2755,3011
"17",2756,2932
"18",2758,2940
"19",2778,2899
"20",2783,2938
"21",2787,2877
"22",2801,2949
"23",2816,3052
"24",2828,2860
"25",2840,2867
"26",2865,2896
"27",2867,2763
"28",2868,2575
"29",2873,2896
"30",2878,2950
"31",2881,2908
"32",2891,2679
"33",2898,2889
"34",2906,2908
"35",2907,2915
"36",2910,2900
"37",2911,3052
"38",2912,2947
"39",2913,2957
"40",2914,2908
"41",2916,3017
"42",2917,3044
"43",2920,2910
"44",2921,2918
"45",2926,2924
"46",2928,2899
"47",2929,2975
"48",2941,2912
"49",2944,2618
"50",2945,2925
"51",2957,3020
"52",2961,2940
"53",2967,2938
"54",2970,2895
"55",2986,2963
"56",2987,2899
"57",3001,2858
"58",3023,2965
"59",3027,3085
"60",3034,2955
"61",3041,2882
"62",3048,2940
"63",3055,2577
"64",3057,3029
"65",3065,2942
"66",3066,2943
"67",3079,2578
"68",3091,2908
"69",3097,2747
"70",3099,3027
"71",3109,3064
"72",3143,3053
"73",3150,2966
"74",3175,3038
"75",3196,2910
"76",3227,2919
"77",3233,2579
"78",3285,2922
"79",3325,2931
"80",3340,2970
"81",3349,2865
"82",3364,2958
"83",3388,2930
"84",3418,3045
"85",3427,2908
