"","node","inspow"
"1",3,359
"2",8,383
"3",9,360
"4",11,374
"5",21,365
"6",70,361
"7",74,337
"8",84,346
"9",88,361
"10",157,1
"11",176,357
"12",186,372
"13",188,1
"14",208,355
"15",254,353
"16",266,355
"17",274,375
"18",279,350
"19",303,363
"20",308,346
"21",318,345
"22",319,340
"23",327,343
"24",328,1
"25",335,355
"26",349,1
"27",357,383
"28",375,376
"29",379,346
"30",383,372
"31",386,355
"32",410,360
"33",413,364
"34",419,341
"35",431,353
"36",437,1
"37",439,346
"38",445,358
"39",463,337
"40",464,364
"41",473,344
"42",476,362
"43",479,345
"44",495,346
"45",500,371
"46",507,357
"47",508,372
"48",513,345
"49",531,1
"50",547,365
"51",553,350
"52",565,358
"53",566,347
"54",570,2
"55",580,365
"56",612,368
"57",621,368
"58",627,359
"59",637,377
"60",638,364
