x,node,at_point_10,at_point_25,at_point_40,at_point_50,at_point_80
1,19,163,338,465,497,598
2,41,156,349,472,506,606
3,62,90,334,452,515,595
4,76,175,391,463,508,612
5,140,155,358,464,501,595
6,145,1,356,460,493,609
7,152,1,378,469,520,602
8,159,1,348,452,518,601
9,161,101,355,452,497,606
10,166,1,353,458,507,604
11,177,127,345,451,525,606
12,223,122,366,454,514,592
13,236,175,1,462,494,602
14,299,177,362,467,487,607
15,358,18,378,452,488,600
16,376,1,369,449,519,605
17,415,24,347,476,505,597
18,422,77,359,443,499,591
19,490,2,353,449,512,604
20,501,184,383,451,508,593
21,516,121,334,467,495,592
22,552,95,351,468,510,603
23,629,151,351,461,492,599
24,630,195,361,457,509,595
