"","node","inspow"
"1",3,490
"2",8,492
"3",9,504
"4",11,494
"5",21,507
"6",70,496
"7",74,508
"8",84,511
"9",88,523
"10",157,501
"11",176,516
"12",186,504
"13",188,519
"14",208,501
"15",254,514
"16",266,516
"17",274,523
"18",279,496
"19",303,504
"20",308,499
"21",318,504
"22",319,505
"23",327,499
"24",328,518
"25",335,503
"26",349,498
"27",357,497
"28",375,501
"29",379,512
"30",383,502
"31",386,500
"32",410,513
"33",413,510
"34",419,524
"35",431,509
"36",437,494
"37",439,505
"38",445,516
"39",463,496
"40",464,495
"41",473,493
"42",476,488
"43",479,502
"44",495,512
"45",500,507
"46",507,502
"47",508,490
"48",513,507
"49",531,498
"50",547,504
"51",553,510
"52",565,496
"53",566,501
"54",570,500
"55",580,500
"56",612,501
"57",621,496
"58",627,505
"59",637,500
"60",638,508
