,s,powmean,powsd,,,,,,,,
1,1,247.120689655172,252.624747019088,,,,,,,,
2,2,378.405405405405,220.13319845363,,,,,,,,
3,3,431.87012987013,177.231810042025,,,,,,,,
4,4,499.078125,63.9645995069098,,,,,,,,
5,5,495.359375,63.5690768358477,,,,,,,,
6,6,504.2,6.26267136544613,,,,,,,,
7,7,507.333333333333,9.5645295748772,,,,s,powmean,powsd,meanplussd,meanminumsd
8,8,504.166666666667,12.0421963425956,,,1,1,247.1206897,252.624747,499.7454367,-5.504057364
9,9,504.125,7.93612895920567,,,2,2,378.4054054,220.1331985,598.5386039,201.1735954
10,10,501.285714285714,4.57217255850672,,,3,3,431.8701299,177.23181,609.1019399,201.1735954
11,11,508.714285714286,10.2097059329882,,,4,4,499.078125,63.96459951,563.0427245,435.1135255
12,12,506.555555555556,10.6998681995237,,,5,5,495.359375,63.56907684,558.9284518,431.7902982
,,,,,,6,6,504.2,6.262671365,510.4626714,497.9373286
,,,,,,7,7,507.3333333,9.564529575,516.8978629,497.7688038
,,,,,,8,8,504.1666667,12.04219634,516.208863,492.1244703
,,,,,,9,9,504.125,7.936128959,512.061129,496.188871
,,,,,,10,10,501.2857143,4.572172559,505.8578868,491.0760084
,,,,,,11,11,508.7142857,10.20970593,518.9239916,498.5045798
,,,,,,12,12,506.5555556,10.6998682,517.2554238,495.8556874
