"","init_node","num_step"
"1",12,11
"2",13,7
"3",16,13
"4",19,5
"5",38,9
"6",44,5
"7",75,9
"8",115,4
"9",210,6
"10",211,5
"11",216,9
"12",288,5
"13",293,5
"14",336,4
"15",359,7
"16",448,5
"17",551,12
"18",586,13
"19",603,5
"20",608,5
"21",609,10
"22",614,22
"23",625,7
"24",639,11
"25",669,5
"26",675,7
"27",693,14
"28",802,7
"29",876,10
"30",884,10
"31",892,9
"32",893,11
"33",912,16
"34",919,28
"35",1097,4
"36",1120,4
"37",1146,17
"38",1207,7
"39",1387,4
"40",1467,17
"41",1561,9
"42",1582,9
"43",1835,6
"44",2080,1
"45",2196,1
"46",2270,1
"47",2458,1
"48",2471,1
"49",2570,1
"50",2597,1
"51",2843,17
"52",3032,10
"53",3072,11
"54",3184,10
"55",3231,5
"56",3452,7
"57",3454,6
"58",3571,7
"59",3651,21
"60",3710,6
"61",3730,8
"62",3749,6
"63",3799,10
"64",3821,8
"65",3854,15
"66",3857,7
"67",3936,8
"68",3975,9
"69",3985,4
"70",4009,7
"71",4011,20
"72",4016,8
"73",4023,14
"74",4025,11
"75",4036,17
