"","init_node","num_step"
"1",1,3
"2",2,1
"3",3,1
"4",4,2
"5",5,1
"6",6,1
"7",7,2
"8",8,3
"9",14,2
"10",15,1
"11",18,1
"12",25,1
"13",34,1
"14",46,1
"15",59,1
"16",64,1
"17",73,3
"18",87,NA
"19",97,5
"20",102,4
"21",106,1
"22",111,1
"23",112,1
"24",116,5
"25",147,NA
"26",171,1
"27",182,2
"28",183,2
"29",184,1
"30",267,1
"31",323,1
"32",342,1
"33",343,2
"34",348,NA
"35",349,NA
"36",357,1
"37",366,1
"38",369,1
"39",382,2
"40",383,1
"41",398,1
"42",417,1
"43",431,7
"44",437,1
"45",439,6
"46",440,NA
"47",441,5
"48",443,4
"49",444,5
"50",449,1
"51",459,2
"52",509,1
"53",513,2
"54",523,3
"55",526,2
"56",527,1
"57",528,3
"58",531,1
"59",576,2
"60",616,1
"61",632,1
"62",653,1
"63",665,1
"64",678,1
"65",684,1
"66",697,2
"67",701,1
"68",763,1
"69",800,2
"70",803,1
"71",818,1
"72",857,3
"73",858,2
"74",859,1
"75",888,2
"76",894,3
"77",980,1
"78",1018,1
"79",1041,1
"80",1059,2
"81",1146,1
"82",1222,1
"83",1296,1
"84",1316,2
"85",1362,1
"86",1422,1
"87",1433,1
"88",1436,2
"89",1447,1
"90",1484,2
"91",1486,1
"92",1538,1
"93",1735,1
"94",1804,1
"95",1841,1
"96",1949,2
"97",1953,1
"98",2035,1
"99",2056,2
"100",2067,1
"101",2122,1
"102",2181,1
"103",2234,1
"104",2273,1
"105",2323,1
"106",2366,2
"107",2368,1
"108",2377,2
"109",2378,1
"110",2407,1
"111",2581,1
"112",2585,1
"113",2599,1
"114",2600,2
"115",2601,1
"116",2607,1
"117",2608,1
"118",2609,1
"119",2611,1
"120",2612,2
"121",2613,2
"122",2617,1
"123",2623,2
"124",2624,1
"125",2625,3
"126",2626,1
"127",2627,2
"128",2628,2
"129",2629,1
"130",2630,1
"131",2631,1
"132",2632,1
"133",2633,1
"134",2634,2
"135",2635,3
"136",2636,1
"137",2637,3
"138",2638,3
"139",2639,1
"140",2640,2
"141",2641,2
"142",2642,2
