,sm,mean,sd,meanplussd,meanminussd
1,1,2310.77333333333,1977.57659210905,4288.34992544238,333.19674122428
2,2,2918.67592592593,1592.82146684773,4511.49739277366,1325.8544590782
3,3,3243.27450980392,1401.73205046912,4645.00656027304,1841.5424593348
4,4,3573.15833333333,924.66036731762,4497.81870065095,2648.49796601571
5,5,3736.19402985075,815.900890592795,4552.09492044355,2920.29313925796
6,6,3903.73728813559,504.382684945334,4408.11997308092,3399.35460319026
7,7,3834.73684210526,545.200721820774,4379.93756392603,3289.53612028449
8,8,3931.88034188034,32.1858642199495,3964.06620610029,3899.69447766039
9,9,3938.56349206349,37.4239953582114,3975.9874874217,3901.13949670528
10,10,3932.4578313253,45.3978559484199,3977.85568727372,3887.05997537688
11,11,3933.2,22.8697218134409,3956.06972181344,3910.33027818656
12,12,3937.02272727273,30.9254287283297,3967.94815600106,3906.0972985444
13,13,3940.07432432432,24.1945778426642,3964.26890216698,3915.87974648166
14,14,3933.21985815603,26.6958060145022,3959.91566417053,3906.52405214153
15,15,3936.16326530612,24.2161776446004,3960.37944295072,3911.94708766152
16,16,3934.1,287.585014050281,4221.68501405028,3646.51498594972
17,17,3936.46774193548,21.2481000488237,3957.7158419843,3915.21964188666
18,18,3941.33823529412,31.7522509969195,3973.09048629104,3909.5859842972
19,19,3938.16883116883,33.1519884832938,3971.32081965212,3905.01684268554
20,20,3938.35714285714,34.1662855009886,3972.52342835813,3904.19085735615
21,21,3912.59420289855,367.986991506641,4280.58119440519,3544.60721139191
22,22,3937.32835820896,33.8836258537773,3971.21198406274,3903.44473235518
23,23,3934.88311688312,4.35889894354067,3939.24201582666,3930.52421793958
24,24,3929,39.9686782130112,3968.96867821301,3889.03132178699
25,25,3941.14285714286,94.8595452937306,4036.00240243659,3846.28331184913
26,26,3935.74576271186,12.6622799421484,3948.40804265401,3923.08348276971
27,27,3929.2962962963,17.4196568406052,3946.71595313691,3911.8766394557
28,28,3933.78947368421,8.48528137423857,3942.27475505845,3925.30419230997
29,29,3938.82608695652,6.89927532426414,3945.72536228078,3931.92681163226
30,30,3934.46875,24.6151327825946,3959.08388278259,3909.85361721741
31,31,3940.07142857143,40.9526540748753,3981.02408264631,3899.11877449655
32,32,3931.0625,18.1947794710461,3949.25727947105,3912.86772052895
33,33,3933.07594936709,20.7300542914153,3953.80600365851,3912.34589507567
34,34,3942,24.62828416582,3966.62828416582,3917.37171583418
35,35,3934.8024691358,33.3481633677179,3968.15063250352,3901.45430576808
36,36,3938,22.403387348923,3960.40338734892,3915.59661265108
37,37,3935.34126984127,35.9484472146275,3971.2897170559,3899.39282262664
38,38,3937.7,50.6864261228137,3988.38642612281,3887.01357387719
39,39,3944,30.8982200134571,3974.89822001346,3913.10177998654
40,40,3915.85714285714,5.52914356581818,3921.38628642296,3910.32799929132
41,41,3942.55555555556,20.2697092014442,3962.825264757,3922.28584635412
42,42,3934.66666666667,7.63762615825973,3942.30429282493,3927.02904050841
43,43,3937.6,20.6695353570599,3958.26953535706,3916.93046464294
44,44,3930,26.2345192446898,3956.23451924469,3903.76548075531
45,45,3949.66666666667,26.1597655443112,3975.82643221098,3923.50690112236
46,46,3920.66666666667,59.9061766431476,3980.57284330982,3860.76049002352
47,47,3909,39.5979797464467,3948.59797974645,3869.40202025355
48,48,3937.83333333333,31.1817254173017,3969.01505875063,3906.65160791603
49,49,3946.71428571429,19.157244060668,3965.87152977496,3927.55704165362
50,50,3924.27272727273,13.3716117203574,3937.64433899309,3910.90111555237
51,51,3931,29.7139136881473,3960.71391368815,3901.28608631185
52,52,3912,9.89949493661167,3921.89949493661,3902.10050506339
53,53,3958.5,4.24264068711928,3962.74264068712,3954.25735931288
54,54,3946,18.3862596918064,3964.38625969181,3927.61374030819
55,55,3944,33.97267809789,3977.97267809789,3910.02732190211
56,56,3946.66666666667,27.8747197295327,3974.5413863962,3918.79194693714
57,57,3953.5,7.07106781186548,3960.57106781187,3946.42893218813
58,58,3945.16666666667,22.2837758619734,3967.45044252864,3922.8828908047
59,59,3944,4.39317652729776,3948.3931765273,3939.6068234727
60,60,3951.5,140.007142674936,4091.50714267494,3811.49285732506
61,61,3931.30769230769,14.1076447724502,3945.41533708014,3917.20004753524
62,62,3936.5,34.0134777208486,3970.51347772085,3902.48652227915
63,63,3936,4.80327269384412,3940.80327269384,3931.19672730616
64,64,3941,19.1957336529811,3960.19573365298,3921.80426634702
65,65,3937.90909090909,18.4089898987128,3956.3180808078,3919.50010101038
66,66,3931.88888888889,23.4214721885095,3955.3103610774,3908.46741670038
67,67,3933.84615384615,11.5080796589134,3945.35423350506,3922.33807418724
68,68,3937.28571428571,16.2260812978893,3953.5117955836,3921.05963298782
69,69,3928.3,19.1833260932509,3947.48332609325,3909.11667390675
70,70,3929.81132075472,30.6844580106552,3960.49577876538,3899.12686274406
71,71,3907,28,3935,3879
72,72,3884,27.9,3911.9,3856.1
73,73,3951,28.5,3979.5,3922.5
74,74,3954,25,3979,3929
75,75,3944.5,5.65685424949238,3950.15685424949,3938.84314575051
76,76,3966,7,3973,3959
77,77,3862,6,3868,3856
78,78,3948.66666666667,7.63762615825973,3956.30429282493,3941.02904050841
79,79,3928.5,4.24264068711928,3932.74264068712,3924.25735931288
80,80,3939,5,3944,3934
81,81,3942.5,6.36396103067893,3948.86396103068,3936.13603896932
82,82,3944,7,3951,3937
83,83,3943,10.5,3953.5,3932.5
84,84,3951,15.9,3966.9,3935.1
85,85,3935,17.9,3952.9,3917.1
86,86,3922,30.3589635308366,3952.35896353084,3891.64103646916
87,87,3944,10,3954,3934
88,88,3938.5,4.24264068711928,3942.74264068712,3934.25735931288
89,89,3947,7,3954,3940
90,90,3945,12,3957,3933
91,91,3939,4.94974746830583,3943.94974746831,3934.05025253169
92,92,3919.75,30.772011092333,3950.52201109233,3888.97798890767
93,93,3926.33333333333,12.5033328890074,3938.83666622234,3913.83000044432
94,94,3924.5,3.53553390593274,3928.03553390593,3920.96446609407
95,95,3942.14285714286,93.7153745581344,4035.85823170099,3848.42748258473
96,96,3930.37974683544,24.7432490220671,3955.12299585751,3905.63649781337
