degree,shell,,,,,,,
4,176,,,degree,,,shell,
4,23,,,4,1,,1,0.09333333333
4,241,,,,,,4,0.16
4,5,,,,,,5,0.2
4,203,,,,,,6,0.2533333333
4,179,,,,,,7,0.2933333333
4,135,,,,,,8,0.3066666667
4,192,,,,,,14,0.32
4,83,,,,,,23,0.3333333333
4,7,,,,,,27,0.3466666667
4,144,,,,,,41,0.36
4,5,,,,,,46,0.3866666667
4,187,,,,,,47,0.4
4,119,,,,,,53,0.4133333333
4,4,,,,,,56,0.4266666667
4,8,,,,,,62,0.4533333333
4,46,,,,,,66,0.4666666667
4,66,,,,,,83,0.48
4,5,,,,,,96,0.4933333333
4,139,,,,,,105,0.5066666667
4,181,,,,,,110,0.5333333333
4,193,,,,,,113,0.5466666667
4,216,,,,,,119,0.56
4,6,,,,,,125,0.5733333333
4,125,,,,,,128,0.5866666667
4,198,,,,,,135,0.6
4,46,,,,,,139,0.6133333333
4,96,,,,,,141,0.6266666667
4,141,,,,,,144,0.6533333333
4,202,,,,,,146,0.6666666667
4,47,,,,,,159,0.68
4,113,,,,,,171,0.6933333333
4,202,,,,,,176,0.7066666667
4,110,,,,,,179,0.72
4,53,,,,,,181,0.7333333333
4,171,,,,,,182,0.7466666667
4,191,,,,,,185,0.76
4,159,,,,,,187,0.7866666667
4,4,,,,,,191,0.8
4,4,,,,,,192,0.8133333333
4,27,,,,,,193,0.8266666667
4,128,,,,,,197,0.84
4,202,,,,,,198,0.8533333333
4,1,,,,,,199,0.8666666667
4,1,,,,,,202,0.9066666667
4,1,,,,,,203,0.92
4,1,,,,,,211,0.9333333333
4,1,,,,,,216,0.9466666667
4,1,,,,,,234,0.96
4,1,,,,,,241,0.9866666667
4,6,,,,,,281,1
4,4,,,,,,,
4,146,,,,,,,
4,6,,,,,,,
4,199,,,,,,,
4,62,,,,,,,
4,6,,,,,,,
4,7,,,,,,,
4,56,,,,,,,
4,144,,,,,,,
4,105,,,,,,,
4,110,,,,,,,
4,182,,,,,,,
4,211,,,,,,,
4,234,,,,,,,
4,197,,,,,,,
4,7,,,,,,,
4,62,,,,,,,
4,41,,,,,,,
4,4,,,,,,,
4,185,,,,,,,
4,241,,,,,,,
4,187,,,,,,,
4,14,,,,,,,
4,281,,,,,,,
