"","init_node","numsteps"
"1",1,4
"2",4,4
"3",10,4
"4",17,4
"5",18,4
"6",27,4
"7",35,4
"8",37,4
"9",42,4
"10",48,4
"11",58,4
"12",66,4
"13",73,4
"14",75,4
"15",79,4
"16",81,4
"17",86,4
"18",87,4
"19",89,4
"20",90,4
"21",94,4
"22",96,4
"23",97,4
"24",99,4
"25",100,4
"26",102,4
"27",103,4
"28",109,4
"29",111,4
"30",112,4
"31",119,4
"32",127,4
"33",130,4
"34",131,4
"35",132,4
"36",134,4
"37",135,4
"38",137,4
"39",142,4
"40",143,4
"41",144,4
"42",146,4
"43",148,4
"44",158,4
"45",162,4
"46",172,4
"47",181,4
"48",187,4
"49",189,4
"50",191,4
"51",192,4
"52",203,4
"53",209,4
"54",213,4
"55",215,4
"56",226,4
"57",231,4
"58",234,4
"59",235,4
"60",240,4
"61",244,4
"62",248,4
"63",249,4
"64",251,4
"65",260,4
"66",261,4
"67",262,4
"68",264,4
"69",270,4
"70",276,4
"71",281,4
"72",286,4
"73",287,4
"74",290,4
"75",291,4
"76",292,4
"77",293,4
"78",296,4
"79",305,4
"80",312,4
"81",316,4
"82",317,4
"83",321,4
"84",322,4
"85",323,4
"86",325,4
"87",329,4
"88",333,4
"89",334,4
"90",342,4
"91",346,4
"92",347,4
"93",348,4
"94",350,4
"95",354,4
"96",355,4
"97",361,4
"98",363,4
"99",371,4
"100",372,4
"101",377,4
"102",382,4
"103",388,4
"104",390,4
"105",394,4
"106",399,4
"107",401,4
"108",403,4
"109",411,4
"110",424,4
"111",425,4
"112",426,4
"113",429,4
"114",430,4
"115",432,4
"116",434,4
"117",438,4
"118",440,4
"119",447,4
"120",448,4
"121",449,4
"122",453,4
"123",455,4
"124",458,4
"125",461,4
"126",472,4
"127",477,4
"128",481,4
"129",483,4
"130",488,4
"131",493,4
"132",503,4
"133",510,4
"134",511,4
"135",515,4
"136",517,4
"137",518,4
"138",519,4
"139",520,4
"140",522,4
"141",533,4
"142",535,4
"143",536,4
"144",538,4
"145",539,4
"146",541,4
"147",542,4
"148",544,4
"149",546,4
"150",555,4
"151",557,4
"152",558,4
"153",560,4
"154",563,4
"155",564,4
"156",567,4
"157",573,4
"158",575,4
"159",579,4
"160",581,4
"161",587,4
"162",590,4
"163",596,4
"164",598,4
"165",601,4
"166",602,4
"167",604,4
"168",622,4
"169",623,4
"170",624,4
"171",631,4
"172",635,4
"173",640,4
"174",641,4
