"","init_node","num_step"
"1",12,287
"2",13,287
"3",16,287
"4",19,287
"5",38,287
"6",44,287
"7",75,287
"8",115,287
"9",210,287
"10",211,287
"11",216,287
"12",288,287
"13",293,287
"14",336,287
"15",359,287
"16",448,287
"17",551,287
"18",586,287
"19",603,287
"20",608,287
"21",609,287
"22",614,287
"23",625,287
"24",639,287
"25",669,287
"26",675,287
"27",693,292
"28",802,292
"29",876,287
"30",884,287
"31",892,287
"32",893,287
"33",912,286
"34",919,286
"35",1097,286
"36",1120,286
"37",1146,286
"38",1207,286
"39",1387,286
"40",1467,286
"41",1561,286
"42",1582,286
"43",1835,286
"44",2080,1
"45",2196,1
"46",2270,1
"47",2458,1
"48",2471,1
"49",2570,1
"50",2597,1
"51",2843,5
"52",3032,5
"53",3072,5
"54",3184,5
"55",3231,5
"56",3452,286
"57",3454,286
"58",3571,286
"59",3651,286
"60",3710,286
"61",3730,286
"62",3749,286
"63",3799,286
"64",3821,286
"65",3854,286
"66",3857,286
"67",3936,286
"68",3975,286
"69",3985,NA
"70",4009,NA
"71",4011,NA
"72",4016,NA
"73",4023,NA
"74",4025,NA
"75",4036,NA
