"","init_node","num_step"
"1",12,11
"2",13,11
"3",16,11
"4",19,11
"5",38,11
"6",44,11
"7",75,11
"8",115,11
"9",210,11
"10",211,11
"11",216,11
"12",288,11
"13",293,11
"14",336,11
"15",359,11
"16",448,11
"17",551,11
"18",586,11
"19",603,11
"20",608,11
"21",609,11
"22",614,11
"23",625,11
"24",639,11
"25",669,11
"26",675,11
"27",693,75
"28",802,75
"29",876,16
"30",884,16
"31",892,16
"32",893,16
"33",912,10
"34",919,10
"35",1097,10
"36",1120,10
"37",1146,10
"38",1207,10
"39",1387,10
"40",1467,10
"41",1561,10
"42",1582,10
"43",1835,10
"44",2080,1
"45",2196,1
"46",2270,1
"47",2458,1
"48",2471,1
"49",2570,1
"50",2597,1
"51",2843,11
"52",3032,11
"53",3072,11
"54",3184,11
"55",3231,11
"56",3452,15
"57",3454,15
"58",3571,15
"59",3651,15
"60",3710,15
"61",3730,15
"62",3749,15
"63",3799,15
"64",3821,15
"65",3854,15
"66",3857,15
"67",3936,15
"68",3975,15
"69",3985,98
"70",4009,98
"71",4011,98
"72",4016,98
"73",4023,98
"74",4025,98
"75",4036,98
