"","init_node","num_step"
"1",7,NA
"2",15,2
"3",16,NA
"4",20,1
"5",27,4
"6",28,NA
"7",29,NA
"8",31,4
"9",32,NA
"10",40,NA
"11",41,1
"12",42,NA
"13",43,2
"14",46,NA
"15",48,1
"16",49,NA
"17",51,NA
"18",56,NA
"19",64,3
"20",67,2
"21",69,NA
"22",79,NA
"23",82,NA
"24",94,7
"25",97,NA
"26",98,NA
"27",99,1
"28",102,NA
"29",136,1
"30",152,NA
"31",155,NA
"32",160,1
"33",166,1
"34",167,NA
"35",172,NA
"36",186,NA
"37",199,1
"38",201,NA
"39",205,NA
"40",210,NA
"41",222,NA
"42",224,1
"43",225,NA
"44",227,3
"45",238,1
"46",247,NA
"47",258,NA
"48",263,NA
"49",271,1
"50",287,NA
"51",295,1
"52",310,NA
"53",338,NA
"54",345,1
"55",349,NA
"56",354,1
"57",359,NA
"58",364,NA
"59",373,NA
"60",381,NA
"61",384,NA
"62",385,NA
"63",387,NA
"64",400,NA
"65",405,NA
"66",409,NA
"67",414,NA
"68",417,NA
"69",427,NA
"70",436,NA
"71",461,NA
"72",472,NA
"73",473,NA
"74",478,NA
"75",489,NA
"76",497,NA
"77",499,NA
"78",500,NA
"79",501,NA
"80",502,NA
"81",503,NA
"82",504,NA
"83",505,NA
"84",511,NA
"85",516,NA
"86",519,NA
"87",521,NA
"88",526,NA
"89",527,NA
"90",528,NA
"91",529,NA
"92",530,NA
"93",537,NA
"94",538,NA
"95",539,NA
"96",544,NA
"97",551,NA
"98",552,NA
"99",558,NA
"100",560,NA
"101",561,NA
"102",562,NA
"103",565,NA
"104",567,NA
"105",572,NA
"106",573,NA
"107",574,NA
"108",575,NA
"109",576,NA
"110",577,NA
"111",578,NA
"112",581,NA
"113",582,NA
"114",584,NA
"115",586,NA
"116",587,NA
"117",589,NA
"118",590,NA
"119",591,NA
"120",592,NA
"121",594,NA
"122",596,NA
"123",598,NA
"124",600,NA
"125",602,NA
"126",603,NA
"127",604,NA
"128",605,NA
"129",606,NA
"130",607,NA
"131",608,NA
"132",609,NA
"133",610,NA
"134",611,NA
"135",612,NA
"136",614,NA
"137",615,NA
"138",616,NA
"139",617,NA
"140",618,NA
"141",619,NA
"142",620,NA
