degree,shell,,,,,,,
1,1,,,degree,,,shell,
2,2,,,1,0.07471264368,,1,0.07471264368
1,1,,,2,0.2988505747,,2,0.2931034483
1,1,,,3,0.5229885057,,3,0.5
2,2,,,4,0.908045977,,4,0.6551724138
2,2,,,5,0.9770114943,,5,0.7298850575
2,2,,,6,1,,6,0.9770114943
3,3,,,,,,7,0.9942528736
3,3,,,,,,9,1
2,2,,,,,,,
3,3,,,,,,,
4,4,,,,,,,
2,2,,,,,,,
1,1,,,,,,,
3,3,,,,,,,
2,2,,,,,,,
2,2,,,,,,,
1,1,,,,,,,
1,1,,,,,,,
1,1,,,,,,,
2,2,,,,,,,
4,4,,,,,,,
3,3,,,,,,,
2,2,,,,,,,
3,3,,,,,,,
2,2,,,,,,,
3,3,,,,,,,
2,2,,,,,,,
2,2,,,,,,,
1,1,,,,,,,
4,4,,,,,,,
2,2,,,,,,,
2,2,,,,,,,
1,1,,,,,,,
3,3,,,,,,,
3,3,,,,,,,
4,4,,,,,,,
4,4,,,,,,,
2,2,,,,,,,
2,2,,,,,,,
2,2,,,,,,,
1,1,,,,,,,
2,2,,,,,,,
2,2,,,,,,,
2,2,,,,,,,
1,1,,,,,,,
3,3,,,,,,,
2,2,,,,,,,
2,2,,,,,,,
2,2,,,,,,,
2,5,,,,,,,
1,1,,,,,,,
2,2,,,,,,,
2,2,,,,,,,
3,3,,,,,,,
1,1,,,,,,,
2,2,,,,,,,
3,3,,,,,,,
3,3,,,,,,,
4,4,,,,,,,
3,5,,,,,,,
2,2,,,,,,,
3,3,,,,,,,
3,3,,,,,,,
2,2,,,,,,,
2,2,,,,,,,
2,2,,,,,,,
2,2,,,,,,,
4,6,,,,,,,
4,6,,,,,,,
4,6,,,,,,,
4,4,,,,,,,
3,3,,,,,,,
4,6,,,,,,,
4,4,,,,,,,
2,2,,,,,,,
2,2,,,,,,,
4,4,,,,,,,
4,6,,,,,,,
4,6,,,,,,,
4,4,,,,,,,
4,6,,,,,,,
3,5,,,,,,,
5,5,,,,,,,
5,5,,,,,,,
3,3,,,,,,,
6,6,,,,,,,
3,3,,,,,,,
4,6,,,,,,,
4,6,,,,,,,
4,6,,,,,,,
3,3,,,,,,,
2,2,,,,,,,
4,4,,,,,,,
5,5,,,,,,,
3,3,,,,,,,
4,6,,,,,,,
3,3,,,,,,,
6,6,,,,,,,
5,7,,,,,,,
3,3,,,,,,,
4,6,,,,,,,
4,6,,,,,,,
4,4,,,,,,,
4,6,,,,,,,
2,2,,,,,,,
4,4,,,,,,,
4,6,,,,,,,
3,3,,,,,,,
4,4,,,,,,,
4,4,,,,,,,
4,6,,,,,,,
4,6,,,,,,,
4,4,,,,,,,
3,3,,,,,,,
4,6,,,,,,,
5,5,,,,,,,
4,6,,,,,,,
5,5,,,,,,,
4,6,,,,,,,
4,4,,,,,,,
4,6,,,,,,,
3,5,,,,,,,
3,3,,,,,,,
4,6,,,,,,,
6,9,,,,,,,
5,5,,,,,,,
4,6,,,,,,,
4,6,,,,,,,
4,6,,,,,,,
4,4,,,,,,,
2,2,,,,,,,
5,5,,,,,,,
4,6,,,,,,,
5,5,,,,,,,
3,3,,,,,,,
5,5,,,,,,,
3,3,,,,,,,
3,3,,,,,,,
5,4,,,,,,,
3,3,,,,,,,
3,3,,,,,,,
3,3,,,,,,,
4,6,,,,,,,
4,6,,,,,,,
4,4,,,,,,,
4,4,,,,,,,
4,4,,,,,,,
3,3,,,,,,,
5,7,,,,,,,
2,2,,,,,,,
4,6,,,,,,,
4,4,,,,,,,
4,6,,,,,,,
4,6,,,,,,,
4,4,,,,,,,
4,6,,,,,,,
4,6,,,,,,,
4,4,,,,,,,
4,6,,,,,,,
4,6,,,,,,,
3,3,,,,,,,
6,6,,,,,,,
5,7,,,,,,,
4,6,,,,,,,
4,6,,,,,,,
3,3,,,,,,,
3,3,,,,,,,
4,4,,,,,,,
3,3,,,,,,,
4,6,,,,,,,
4,4,,,,,,,
4,6,,,,,,,
4,6,,,,,,,
