"","init_node","num_step"
"1",1,1
"2",4,2
"3",10,1
"4",17,1
"5",18,2
"6",27,2
"7",35,2
"8",37,3
"9",42,3
"10",48,2
"11",58,3
"12",66,4
"13",73,2
"14",75,1
"15",79,3
"16",81,2
"17",86,2
"18",87,1
"19",89,1
"20",90,1
"21",94,2
"22",96,4
"23",97,3
"24",99,2
"25",100,3
"26",102,2
"27",103,3
"28",109,2
"29",111,2
"30",112,1
"31",119,4
"32",127,2
"33",130,2
"34",131,1
"35",132,3
"36",134,3
"37",135,4
"38",137,4
"39",142,2
"40",143,2
"41",144,2
"42",146,1
"43",148,2
"44",158,2
"45",162,2
"46",172,1
"47",181,3
"48",187,2
"49",189,2
"50",191,2
"51",192,5
"52",203,1
"53",209,2
"54",213,2
"55",215,3
"56",226,1
"57",231,2
"58",234,3
"59",235,3
"60",240,4
"61",244,5
"62",248,2
"63",249,3
"64",251,3
"65",260,2
"66",261,2
"67",262,2
"68",264,2
"69",270,6
"70",276,6
"71",281,6
"72",286,4
"73",287,3
"74",290,6
"75",291,4
"76",292,2
"77",293,2
"78",296,4
"79",305,6
"80",312,6
"81",316,4
"82",317,6
"83",321,5
"84",322,5
"85",323,5
"86",325,3
"87",329,6
"88",333,3
"89",334,6
"90",342,6
"91",346,6
"92",347,3
"93",348,2
"94",350,4
"95",354,5
"96",355,3
"97",361,6
"98",363,3
"99",371,6
"100",372,7
"101",377,3
"102",382,6
"103",388,6
"104",390,4
"105",394,6
"106",399,2
"107",401,4
"108",403,6
"109",411,3
"110",424,4
"111",425,4
"112",426,6
"113",429,6
"114",430,4
"115",432,3
"116",434,6
"117",438,5
"118",440,6
"119",447,5
"120",448,6
"121",449,4
"122",453,6
"123",455,5
"124",458,3
"125",461,6
"126",472,9
"127",477,5
"128",481,6
"129",483,6
"130",488,6
"131",493,4
"132",503,2
"133",510,5
"134",511,6
"135",515,5
"136",517,3
"137",518,5
"138",519,3
"139",520,3
"140",522,4
"141",533,3
"142",535,3
"143",536,3
"144",538,6
"145",539,6
"146",541,4
"147",542,4
"148",544,4
"149",546,3
"150",555,7
"151",557,2
"152",558,6
"153",560,4
"154",563,6
"155",564,6
"156",567,4
"157",573,6
"158",575,6
"159",579,4
"160",581,6
"161",587,6
"162",590,3
"163",596,6
"164",598,7
"165",601,6
"166",602,6
"167",604,3
"168",622,3
"169",623,4
"170",624,3
"171",631,6
"172",635,4
"173",640,6
"174",641,6
