numsteps,degree,numsteps,shell,
7,1,2,0.03870967742,6
,,3,0.2064516129,32
,,4,0.3096774194,48
,,5,0.3741935484,58
,,6,0.4129032258,64
,,7,0.464516129,72
,,8,0.5290322581,82
,,9,0.5677419355,88
,,10,0.6064516129,94
,,11,0.6322580645,98
,,12,0.664516129,103
,,13,0.6967741935,108
,,14,0.7290322581,113
,,15,0.7677419355,119
,,16,0.7935483871,123
,,17,0.8129032258,126
,,19,0.8258064516,128
,,20,0.8322580645,129
,,21,0.8774193548,136
,,22,0.9032258065,140
,,23,0.9161290323,142
,,24,0.935483871,145
,,25,0.9419354839,146
,,26,0.9483870968,147
,,28,0.9612903226,149
,,30,0.9741935484,151
,,33,0.9806451613,152
,,34,0.9870967742,153
,,45,0.9935483871,154
,,59,1,155
