"","init_node","numsteps"
"1",35,7
"2",36,7
"3",37,7
"4",111,7
"5",175,7
"6",253,7
"7",261,7
"8",294,7
"9",318,7
"10",374,7
"11",424,7
"12",463,7
"13",488,7
"14",493,7
"15",494,7
"16",502,7
"17",514,7
"18",516,7
"19",519,7
"20",526,7
"21",550,7
"22",575,7
"23",583,7
"24",615,7
"25",616,7
"26",618,7
"27",619,7
"28",628,7
"29",635,7
"30",637,7
"31",644,7
"32",667,7
"33",670,7
"34",679,7
"35",685,7
"36",690,7
"37",717,7
"38",722,7
"39",740,7
"40",751,7
"41",758,7
"42",759,7
"43",760,7
"44",763,7
"45",768,7
"46",779,7
"47",782,7
"48",785,7
"49",789,7
"50",791,7
"51",800,7
"52",803,7
"53",804,7
"54",805,7
"55",830,7
"56",832,7
"57",843,7
"58",845,7
"59",852,7
"60",856,7
"61",857,7
"62",858,7
"63",862,7
"64",863,7
"65",867,7
"66",873,7
"67",876,7
"68",897,7
"69",901,7
"70",906,7
"71",909,7
"72",913,7
"73",916,7
"74",917,7
"75",918,7
"76",934,7
"77",939,7
"78",947,7
"79",948,7
"80",949,7
"81",955,7
"82",956,7
"83",959,7
"84",964,7
"85",966,7
"86",970,7
"87",971,7
"88",972,7
"89",973,7
"90",977,7
"91",991,7
"92",998,7
"93",1000,7
"94",1006,7
"95",1012,7
"96",1015,7
"97",1018,7
"98",1021,7
"99",1028,7
"100",1029,7
"101",1030,7
"102",1033,7
"103",1040,7
"104",1042,7
"105",1044,7
"106",1052,7
"107",1055,7
"108",1056,7
"109",1057,7
"110",1059,7
"111",1064,7
"112",1071,7
"113",1072,7
"114",1074,7
"115",1076,7
"116",1077,7
"117",1081,7
"118",1082,7
"119",1083,7
"120",1085,7
"121",1091,7
"122",1092,7
"123",1093,7
"124",1094,7
"125",1096,7
"126",1099,7
"127",1101,7
"128",1102,7
"129",1103,7
"130",1104,7
"131",1106,7
"132",1107,7
"133",1108,7
"134",1109,7
"135",1110,7
"136",1111,7
"137",1114,7
"138",1115,7
"139",1116,7
"140",1117,7
"141",1118,7
"142",1119,7
"143",1120,7
"144",1121,7
"145",1122,7
"146",1124,7
"147",1125,7
"148",1126,7
"149",1127,7
"150",1128,7
"151",1129,7
"152",1130,7
"153",1131,7
"154",1132,7
"155",1133,7
