"","init_node","num_step"
"1",35,13
"2",36,8
"3",37,14
"4",111,9
"5",175,19
"6",253,16
"7",261,13
"8",294,22
"9",318,11
"10",374,9
"11",424,11
"12",463,5
"13",488,3
"14",493,7
"15",494,22
"16",502,19
"17",514,6
"18",516,34
"19",519,24
"20",526,21
"21",550,2
"22",575,3
"23",583,4
"24",615,28
"25",616,24
"26",618,15
"27",619,25
"28",628,16
"29",635,7
"30",637,22
"31",644,13
"32",667,59
"33",670,3
"34",679,10
"35",685,22
"36",690,3
"37",717,15
"38",722,2
"39",740,5
"40",751,7
"41",758,12
"42",759,4
"43",760,5
"44",763,8
"45",768,3
"46",779,28
"47",782,17
"48",785,16
"49",789,4
"50",791,20
"51",800,3
"52",803,21
"53",804,15
"54",805,15
"55",830,3
"56",832,16
"57",843,14
"58",845,8
"59",852,3
"60",856,21
"61",857,9
"62",858,17
"63",862,12
"64",863,4
"65",867,6
"66",873,4
"67",876,4
"68",897,4
"69",901,10
"70",906,4
"71",909,5
"72",913,2
"73",916,8
"74",917,4
"75",918,8
"76",934,8
"77",939,21
"78",947,3
"79",948,6
"80",949,9
"81",955,11
"82",956,8
"83",959,3
"84",964,4
"85",966,3
"86",970,11
"87",971,12
"88",972,10
"89",973,33
"90",977,4
"91",991,2
"92",998,17
"93",1000,7
"94",1006,13
"95",1012,7
"96",1015,7
"97",1018,5
"98",1021,4
"99",1028,4
"100",1029,24
"101",1030,3
"102",1033,2
"103",1040,12
"104",1042,5
"105",1044,14
"106",1052,10
"107",1055,45
"108",1056,4
"109",1057,8
"110",1059,3
"111",1064,21
"112",1071,5
"113",1072,14
"114",1074,3
"115",1076,6
"116",1077,30
"117",1081,23
"118",1082,15
"119",1083,26
"120",1085,4
"121",1091,10
"122",1092,23
"123",1093,7
"124",1094,21
"125",1096,21
"126",1099,5
"127",1101,9
"128",1102,3
"129",1103,4
"130",1104,6
"131",1106,10
"132",1107,15
"133",1108,3
"134",1109,3
"135",1110,3
"136",1111,3
"137",1114,3
"138",1115,12
"139",1116,2
"140",1117,3
"141",1118,3
"142",1119,3
"143",1120,9
"144",1121,8
"145",1122,3
"146",1124,3
"147",1125,6
"148",1126,3
"149",1127,7
"150",1128,30
"151",1129,5
"152",1130,14
"153",1131,13
"154",1132,8
"155",1133,5
