"","init_node","numsteps"
"1",1,2
"2",2,2
"3",3,2
"4",4,2
"5",5,2
"6",6,2
"7",7,2
"8",8,2
"9",14,2
"10",15,2
"11",18,2
"12",25,2
"13",34,2
"14",46,2
"15",59,2
"16",64,2
"17",73,2
"18",87,2
"19",97,2
"20",102,2
"21",106,2
"22",111,2
"23",112,2
"24",116,2
"25",147,2
"26",171,2
"27",182,2
"28",183,2
"29",184,2
"30",267,2
"31",323,2
"32",342,2
"33",343,2
"34",348,2
"35",349,2
"36",357,2
"37",366,2
"38",369,2
"39",382,2
"40",383,2
"41",398,2
"42",417,2
"43",431,2
"44",437,2
"45",439,2
"46",440,2
"47",441,2
"48",443,2
"49",444,2
"50",449,2
"51",459,2
"52",509,2
"53",513,2
"54",523,2
"55",526,2
"56",527,2
"57",528,2
"58",531,2
"59",576,2
"60",616,2
"61",632,2
"62",653,2
"63",665,2
"64",678,2
"65",684,2
"66",697,2
"67",701,2
"68",763,2
"69",800,2
"70",803,2
"71",818,2
"72",857,2
"73",858,2
"74",859,2
"75",888,2
"76",894,2
"77",980,2
"78",1018,2
"79",1041,2
"80",1059,2
"81",1146,2
"82",1222,2
"83",1296,2
"84",1316,2
"85",1362,2
"86",1422,2
"87",1433,2
"88",1436,2
"89",1447,2
"90",1484,2
"91",1486,2
"92",1538,2
"93",1735,2
"94",1804,2
"95",1841,2
"96",1949,2
"97",1953,2
"98",2035,2
"99",2056,2
"100",2067,2
"101",2122,2
"102",2181,2
"103",2234,2
"104",2273,2
"105",2323,2
"106",2366,2
"107",2368,2
"108",2377,2
"109",2378,2
"110",2407,2
"111",2581,2
"112",2585,2
"113",2599,2
"114",2600,2
"115",2601,2
"116",2607,2
"117",2608,2
"118",2609,2
"119",2611,2
"120",2612,2
"121",2613,2
"122",2617,2
"123",2623,2
"124",2624,2
"125",2625,2
"126",2626,2
"127",2627,2
"128",2628,2
"129",2629,2
"130",2630,2
"131",2631,2
"132",2632,2
"133",2633,2
"134",2634,2
"135",2635,2
"136",2636,2
"137",2637,2
"138",2638,2
"139",2639,2
"140",2640,2
"141",2641,2
"142",2642,2
