"","init_node","num_step"
"1",35,5
"2",36,5
"3",37,5
"4",111,5
"5",175,5
"6",253,4
"7",261,4
"8",294,6
"9",318,5
"10",374,5
"11",424,3
"12",463,3
"13",488,5
"14",493,5
"15",494,5
"16",502,5
"17",514,5
"18",516,7
"19",519,7
"20",526,6
"21",550,2
"22",575,3
"23",583,4
"24",615,4
"25",616,3
"26",618,3
"27",619,3
"28",628,6
"29",635,6
"30",637,5
"31",644,3
"32",667,5
"33",670,3
"34",679,4
"35",685,3
"36",690,3
"37",717,5
"38",722,2
"39",740,3
"40",751,3
"41",758,6
"42",759,6
"43",760,5
"44",763,5
"45",768,3
"46",779,4
"47",782,5
"48",785,3
"49",789,4
"50",791,4
"51",800,5
"52",803,6
"53",804,6
"54",805,5
"55",830,4
"56",832,7
"57",843,4
"58",845,6
"59",852,4
"60",856,6
"61",857,6
"62",858,6
"63",862,4
"64",863,4
"65",867,4
"66",873,4
"67",876,4
"68",897,4
"69",901,5
"70",906,4
"71",909,5
"72",913,2
"73",916,5
"74",917,5
"75",918,6
"76",934,4
"77",939,5
"78",947,3
"79",948,5
"80",949,5
"81",955,3
"82",956,3
"83",959,3
"84",964,3
"85",966,3
"86",970,5
"87",971,5
"88",972,6
"89",973,6
"90",977,3
"91",991,2
"92",998,5
"93",1000,5
"94",1006,4
"95",1012,5
"96",1015,4
"97",1018,5
"98",1021,4
"99",1028,3
"100",1029,4
"101",1030,3
"102",1033,2
"103",1040,5
"104",1042,5
"105",1044,4
"106",1052,6
"107",1055,5
"108",1056,5
"109",1057,5
"110",1059,3
"111",1064,6
"112",1071,4
"113",1072,4
"114",1074,3
"115",1076,4
"116",1077,5
"117",1081,6
"118",1082,6
"119",1083,6
"120",1085,4
"121",1091,6
"122",1092,5
"123",1093,6
"124",1094,4
"125",1096,6
"126",1099,5
"127",1101,5
"128",1102,3
"129",1103,4
"130",1104,6
"131",1106,4
"132",1107,6
"133",1108,3
"134",1109,7
"135",1110,7
"136",1111,7
"137",1114,3
"138",1115,4
"139",1116,2
"140",1117,3
"141",1118,3
"142",1119,3
"143",1120,4
"144",1121,5
"145",1122,3
"146",1124,3
"147",1125,6
"148",1126,3
"149",1127,6
"150",1128,5
"151",1129,4
"152",1130,6
"153",1131,7
"154",1132,5
"155",1133,7
