"","init_node","num_step"
"1",35,7
"2",36,7
"3",37,7
"4",111,5
"5",175,34
"6",253,33
"7",261,32
"8",294,29
"9",318,8
"10",374,30
"11",424,31
"12",463,20
"13",488,40
"14",493,40
"15",494,40
"16",502,9
"17",514,7
"18",516,25
"19",519,25
"20",526,31
"21",550,2
"22",575,3
"23",583,33
"24",615,6
"25",616,3
"26",618,3
"27",619,3
"28",628,22
"29",635,22
"30",637,17
"31",644,8
"32",667,45
"33",670,3
"34",679,11
"35",685,3
"36",690,3
"37",717,31
"38",722,2
"39",740,4
"40",751,3
"41",758,4
"42",759,4
"43",760,45
"44",763,8
"45",768,3
"46",779,16
"47",782,15
"48",785,3
"49",789,6
"50",791,32
"51",800,30
"52",803,31
"53",804,31
"54",805,34
"55",830,39
"56",832,41
"57",843,14
"58",845,31
"59",852,6
"60",856,31
"61",857,31
"62",858,31
"63",862,4
"64",863,44
"65",867,4
"66",873,44
"67",876,44
"68",897,7
"69",901,31
"70",906,7
"71",909,4
"72",913,2
"73",916,8
"74",917,12
"75",918,9
"76",934,14
"77",939,12
"78",947,3
"79",948,7
"80",949,7
"81",955,12
"82",956,3
"83",959,3
"84",964,3
"85",966,3
"86",970,8
"87",971,8
"88",972,31
"89",973,31
"90",977,4
"91",991,2
"92",998,7
"93",1000,7
"94",1006,38
"95",1012,17
"96",1015,44
"97",1018,8
"98",1021,44
"99",1028,3
"100",1029,21
"101",1030,3
"102",1033,2
"103",1040,9
"104",1042,9
"105",1044,4
"106",1052,8
"107",1055,37
"108",1056,10
"109",1057,10
"110",1059,3
"111",1064,7
"112",1071,15
"113",1072,4
"114",1074,3
"115",1076,6
"116",1077,19
"117",1081,9
"118",1082,9
"119",1083,9
"120",1085,21
"121",1091,9
"122",1092,17
"123",1093,33
"124",1094,4
"125",1096,18
"126",1099,19
"127",1101,45
"128",1102,3
"129",1103,4
"130",1104,18
"131",1106,36
"132",1107,18
"133",1108,3
"134",1109,25
"135",1110,25
"136",1111,25
"137",1114,3
"138",1115,4
"139",1116,2
"140",1117,3
"141",1118,3
"142",1119,3
"143",1120,6
"144",1121,25
"145",1122,3
"146",1124,3
"147",1125,8
"148",1126,3
"149",1127,41
"150",1128,45
"151",1129,4
"152",1130,41
"153",1131,10
"154",1132,35
"155",1133,19
