degree,shell,,,,,,
3,3,,,,,,
1,1,,degree,,,shell,
1,1,,1,0.5985915493,,1,0.5985915493
2,2,,2,0.8309859155,,2,0.8028169014
1,1,,3,0.9084507042,,3,0.8943661972
1,1,,4,0.9225352113,,4,0.9295774648
2,2,,5,0.9507042254,,5,0.9647887324
3,3,,6,0.9577464789,,6,0.9718309859
2,2,,7,0.9647887324,,7,0.985915493
1,1,,NA,,,NA,
1,1,,,,,,
1,1,,,,,,
1,1,,,,,,
1,1,,,,,,
1,1,,,,,,
1,1,,,,,,
3,3,,,,,,
NA,4,,,,,,
5,5,,,,,,
4,4,,,,,,
1,1,,,,,,
1,1,,,,,,
1,1,,,,,,
5,5,,,,,,
NA,3,,,,,,
1,1,,,,,,
2,2,,,,,,
2,2,,,,,,
1,1,,,,,,
1,1,,,,,,
1,1,,,,,,
1,1,,,,,,
2,2,,,,,,
NA,NA,,,,,,
NA,NA,,,,,,
1,1,,,,,,
1,1,,,,,,
1,1,,,,,,
2,2,,,,,,
1,1,,,,,,
1,1,,,,,,
1,1,,,,,,
7,7,,,,,,
1,1,,,,,,
6,6,,,,,,
NA,7,,,,,,
5,5,,,,,,
4,5,,,,,,
5,5,,,,,,
1,1,,,,,,
2,2,,,,,,
1,1,,,,,,
2,2,,,,,,
3,3,,,,,,
2,2,,,,,,
1,1,,,,,,
3,3,,,,,,
1,1,,,,,,
2,2,,,,,,
1,1,,,,,,
1,1,,,,,,
1,1,,,,,,
1,1,,,,,,
1,1,,,,,,
1,1,,,,,,
2,2,,,,,,
1,1,,,,,,
1,1,,,,,,
2,2,,,,,,
1,1,,,,,,
1,1,,,,,,
3,3,,,,,,
2,2,,,,,,
1,1,,,,,,
2,3,,,,,,
3,3,,,,,,
1,1,,,,,,
1,1,,,,,,
1,1,,,,,,
2,2,,,,,,
1,1,,,,,,
1,1,,,,,,
1,1,,,,,,
2,2,,,,,,
1,1,,,,,,
1,1,,,,,,
1,1,,,,,,
2,2,,,,,,
1,1,,,,,,
2,2,,,,,,
1,1,,,,,,
1,1,,,,,,
1,1,,,,,,
1,1,,,,,,
1,1,,,,,,
2,2,,,,,,
1,1,,,,,,
1,1,,,,,,
2,2,,,,,,
1,1,,,,,,
1,1,,,,,,
1,1,,,,,,
1,1,,,,,,
1,1,,,,,,
1,1,,,,,,
2,2,,,,,,
1,1,,,,,,
2,2,,,,,,
1,1,,,,,,
1,1,,,,,,
1,1,,,,,,
1,1,,,,,,
1,1,,,,,,
2,2,,,,,,
1,1,,,,,,
1,1,,,,,,
1,1,,,,,,
1,1,,,,,,
1,1,,,,,,
2,2,,,,,,
2,4,,,,,,
1,1,,,,,,
2,3,,,,,,
1,1,,,,,,
3,3,,,,,,
1,1,,,,,,
2,2,,,,,,
2,2,,,,,,
1,1,,,,,,
1,1,,,,,,
1,1,,,,,,
1,1,,,,,,
1,1,,,,,,
2,3,,,,,,
3,3,,,,,,
1,1,,,,,,
3,4,,,,,,
3,4,,,,,,
1,1,,,,,,
2,2,,,,,,
2,2,,,,,,
2,2,,,,,,
