degree,shell,,,,,,,
2,3,,,,,,,
2,1,,,degree,,,shell,
2,1,,,2,1,,1,0.5985915493
2,2,,,,,,2,0.8521126761
2,1,,,,,,3,0.9436619718
2,1,,,,,,4,0.9788732394
2,2,,,,,,5,1
2,3,,,,,,,
2,2,,,,,,,
2,1,,,,,,,
2,1,,,,,,,
2,1,,,,,,,
2,1,,,,,,,
2,1,,,,,,,
2,1,,,,,,,
2,1,,,,,,,
2,3,,,,,,,
2,4,,,,,,,
2,5,,,,,,,
2,2,,,,,,,
2,1,,,,,,,
2,1,,,,,,,
2,1,,,,,,,
2,4,,,,,,,
2,3,,,,,,,
2,1,,,,,,,
2,2,,,,,,,
2,4,,,,,,,
2,1,,,,,,,
2,1,,,,,,,
2,1,,,,,,,
2,1,,,,,,,
2,2,,,,,,,
2,2,,,,,,,
2,2,,,,,,,
2,1,,,,,,,
2,1,,,,,,,
2,1,,,,,,,
2,2,,,,,,,
2,1,,,,,,,
2,1,,,,,,,
2,1,,,,,,,
2,5,,,,,,,
2,1,,,,,,,
2,4,,,,,,,
2,2,,,,,,,
2,3,,,,,,,
2,4,,,,,,,
2,5,,,,,,,
2,1,,,,,,,
2,2,,,,,,,
2,1,,,,,,,
2,2,,,,,,,
2,3,,,,,,,
2,2,,,,,,,
2,1,,,,,,,
2,3,,,,,,,
2,1,,,,,,,
2,2,,,,,,,
2,1,,,,,,,
2,1,,,,,,,
2,1,,,,,,,
2,1,,,,,,,
2,1,,,,,,,
2,1,,,,,,,
2,2,,,,,,,
2,1,,,,,,,
2,1,,,,,,,
2,2,,,,,,,
2,1,,,,,,,
2,1,,,,,,,
2,3,,,,,,,
2,2,,,,,,,
2,1,,,,,,,
2,2,,,,,,,
2,3,,,,,,,
2,1,,,,,,,
2,1,,,,,,,
2,1,,,,,,,
2,2,,,,,,,
2,1,,,,,,,
2,1,,,,,,,
2,1,,,,,,,
2,2,,,,,,,
2,1,,,,,,,
2,1,,,,,,,
2,1,,,,,,,
2,2,,,,,,,
2,1,,,,,,,
2,2,,,,,,,
2,1,,,,,,,
2,1,,,,,,,
2,1,,,,,,,
2,1,,,,,,,
2,1,,,,,,,
2,2,,,,,,,
2,1,,,,,,,
2,1,,,,,,,
2,2,,,,,,,
2,1,,,,,,,
2,1,,,,,,,
2,1,,,,,,,
2,1,,,,,,,
2,1,,,,,,,
2,1,,,,,,,
2,2,,,,,,,
2,1,,,,,,,
2,2,,,,,,,
2,1,,,,,,,
2,1,,,,,,,
2,1,,,,,,,
2,1,,,,,,,
2,1,,,,,,,
2,2,,,,,,,
2,1,,,,,,,
2,1,,,,,,,
2,1,,,,,,,
2,1,,,,,,,
2,1,,,,,,,
2,2,,,,,,,
2,2,,,,,,,
2,1,,,,,,,
2,2,,,,,,,
2,1,,,,,,,
2,3,,,,,,,
2,1,,,,,,,
2,2,,,,,,,
2,2,,,,,,,
2,1,,,,,,,
2,1,,,,,,,
2,1,,,,,,,
2,1,,,,,,,
2,1,,,,,,,
2,2,,,,,,,
2,3,,,,,,,
2,1,,,,,,,
2,3,,,,,,,
2,3,,,,,,,
2,1,,,,,,,
2,2,,,,,,,
2,2,,,,,,,
2,2,,,,,,,
