"","init_node","num_step"
"1",1,1
"2",4,2
"3",10,1
"4",17,1
"5",18,2
"6",27,2
"7",35,2
"8",37,3
"9",42,3
"10",48,2
"11",58,3
"12",66,4
"13",73,2
"14",75,1
"15",79,3
"16",81,2
"17",86,2
"18",87,1
"19",89,1
"20",90,1
"21",94,2
"22",96,5
"23",97,4
"24",99,2
"25",100,3
"26",102,2
"27",103,3
"28",109,2
"29",111,2
"30",112,1
"31",119,4
"32",127,2
"33",130,2
"34",131,1
"35",132,3
"36",134,3
"37",135,4
"38",137,4
"39",142,2
"40",143,2
"41",144,2
"42",146,1
"43",148,2
"44",158,2
"45",162,2
"46",172,1
"47",181,3
"48",187,2
"49",189,2
"50",191,2
"51",192,5
"52",203,1
"53",209,2
"54",213,2
"55",215,3
"56",226,1
"57",231,2
"58",234,3
"59",235,3
"60",240,4
"61",244,6
"62",248,2
"63",249,3
"64",251,3
"65",260,2
"66",261,2
"67",262,2
"68",264,2
"69",270,4
"70",276,5
"71",281,7
"72",286,4
"73",287,3
"74",290,5
"75",291,4
"76",292,2
"77",293,2
"78",296,4
"79",305,4
"80",312,4
"81",316,4
"82",317,8
"83",321,7
"84",322,7
"85",323,5
"86",325,3
"87",329,6
"88",333,3
"89",334,4
"90",342,6
"91",346,10
"92",347,3
"93",348,2
"94",350,4
"95",354,4
"96",355,3
"97",361,4
"98",363,3
"99",371,4
"100",372,6
"101",377,3
"102",382,6
"103",388,6
"104",390,4
"105",394,5
"106",399,2
"107",401,5
"108",403,6
"109",411,3
"110",424,4
"111",425,4
"112",426,4
"113",429,5
"114",430,8
"115",432,3
"116",434,5
"117",438,5
"118",440,7
"119",447,5
"120",448,5
"121",449,4
"122",453,7
"123",455,10
"124",458,3
"125",461,5
"126",472,4
"127",477,5
"128",481,4
"129",483,8
"130",488,5
"131",493,4
"132",503,2
"133",510,5
"134",511,5
"135",515,5
"136",517,3
"137",518,11
"138",519,3
"139",520,3
"140",522,5
"141",533,3
"142",535,3
"143",536,3
"144",538,5
"145",539,6
"146",541,5
"147",542,4
"148",544,4
"149",546,3
"150",555,9
"151",557,2
"152",558,5
"153",560,4
"154",563,6
"155",564,4
"156",567,4
"157",573,4
"158",575,6
"159",579,4
"160",581,4
"161",587,6
"162",590,5
"163",596,8
"164",598,5
"165",601,5
"166",602,6
"167",604,3
"168",622,3
"169",623,8
"170",624,3
"171",631,8
"172",635,6
"173",640,6
"174",641,7
