"","init_node","num_step"
"1",12,2
"2",13,2
"3",16,2
"4",19,2
"5",38,2
"6",44,2
"7",75,2
"8",115,2
"9",210,2
"10",211,2
"11",216,2
"12",288,2
"13",293,2
"14",336,2
"15",359,1
"16",448,1
"17",551,1
"18",586,1
"19",603,1
"20",608,1
"21",609,1
"22",614,1
"23",625,1
"24",639,1
"25",669,1
"26",675,1
"27",693,8
"28",802,8
"29",876,3
"30",884,3
"31",892,3
"32",893,3
"33",912,1
"34",919,1
"35",1097,1
"36",1120,1
"37",1146,1
"38",1207,1
"39",1387,1
"40",1467,1
"41",1561,1
"42",1582,1
"43",1835,1
"44",2080,1
"45",2196,1
"46",2270,1
"47",2458,1
"48",2471,1
"49",2570,1
"50",2597,1
"51",2843,1
"52",3032,1
"53",3072,1
"54",3184,1
"55",3231,1
"56",3452,2
"57",3454,2
"58",3571,2
"59",3651,2
"60",3710,2
"61",3730,2
"62",3749,2
"63",3799,2
"64",3821,2
"65",3854,2
"66",3857,2
"67",3936,2
"68",3975,2
"69",3985,NA
"70",4009,NA
"71",4011,NA
"72",4016,NA
"73",4023,NA
"74",4025,NA
"75",4036,NA
