"","init_node","num_step"
"1",12,176
"2",13,23
"3",16,241
"4",19,5
"5",38,203
"6",44,179
"7",75,135
"8",115,192
"9",210,83
"10",211,7
"11",216,144
"12",288,5
"13",293,187
"14",336,119
"15",359,4
"16",448,8
"17",551,46
"18",586,66
"19",603,5
"20",608,139
"21",609,181
"22",614,193
"23",625,216
"24",639,6
"25",669,125
"26",675,198
"27",693,46
"28",802,96
"29",876,141
"30",884,202
"31",892,47
"32",893,113
"33",912,202
"34",919,110
"35",1097,53
"36",1120,171
"37",1146,191
"38",1207,159
"39",1387,4
"40",1467,4
"41",1561,27
"42",1582,128
"43",1835,202
"44",2080,1
"45",2196,1
"46",2270,1
"47",2458,1
"48",2471,1
"49",2570,1
"50",2597,1
"51",2843,6
"52",3032,4
"53",3072,146
"54",3184,6
"55",3231,199
"56",3452,62
"57",3454,6
"58",3571,7
"59",3651,56
"60",3710,144
"61",3730,105
"62",3749,110
"63",3799,182
"64",3821,211
"65",3854,234
"66",3857,197
"67",3936,7
"68",3975,62
"69",3985,41
"70",4009,4
"71",4011,185
"72",4016,241
"73",4023,187
"74",4025,14
"75",4036,281
