"","initisb_node","steps"
"1",12,NA
"2",13,NA
"3",16,NA
"4",19,NA
"5",38,NA
"6",44,NA
"7",75,NA
"8",115,NA
"9",210,NA
"10",211,NA
"11",216,140
"12",288,NA
"13",293,NA
"14",336,NA
"15",359,NA
"16",448,NA
"17",551,NA
"18",586,NA
"19",603,35
"20",608,4
"21",609,NA
"22",614,NA
"23",625,168
"24",639,4
"25",669,NA
"26",675,NA
"27",693,NA
"28",802,NA
"29",876,NA
"30",884,NA
"31",892,NA
"32",893,NA
"33",912,NA
"34",919,NA
"35",1097,NA
"36",1120,NA
"37",1146,NA
"38",1207,NA
"39",1387,97
"40",1467,61
"41",1561,NA
"42",1582,NA
"43",1835,88
"44",2080,1
"45",2196,1
"46",2270,1
"47",2458,1
"48",2471,1
"49",2570,1
"50",2597,1
"51",2843,134
"52",3032,181
"53",3072,NA
"54",3184,NA
"55",3231,64
"56",3452,NA
"57",3454,17
"58",3571,NA
"59",3651,NA
"60",3710,NA
"61",3730,NA
"62",3749,NA
"63",3799,NA
"64",3821,166
"65",3854,NA
"66",3857,NA
"67",3936,NA
"68",3975,NA
"69",3985,NA
"70",4009,4
"71",4011,NA
"72",4016,NA
"73",4023,NA
"74",4025,NA
"75",4036,NA
