"","init_node","numsteps"
"1",12,12
"2",13,12
"3",16,12
"4",19,12
"5",38,12
"6",44,12
"7",75,12
"8",115,12
"9",210,12
"10",211,12
"11",216,12
"12",288,12
"13",293,12
"14",336,12
"15",359,12
"16",448,12
"17",551,12
"18",586,12
"19",603,12
"20",608,12
"21",609,12
"22",614,12
"23",625,12
"24",639,12
"25",669,12
"26",675,12
"27",693,12
"28",802,12
"29",876,12
"30",884,12
"31",892,12
"32",893,12
"33",912,12
"34",919,12
"35",1097,12
"36",1120,12
"37",1146,12
"38",1207,12
"39",1387,12
"40",1467,12
"41",1561,12
"42",1582,12
"43",1835,12
"44",2080,12
"45",2196,12
"46",2270,12
"47",2458,12
"48",2471,12
"49",2570,12
"50",2597,12
"51",2843,12
"52",3032,12
"53",3072,12
"54",3184,12
"55",3231,12
"56",3452,12
"57",3454,12
"58",3571,12
"59",3651,12
"60",3710,12
"61",3730,12
"62",3749,12
"63",3799,12
"64",3821,12
"65",3854,12
"66",3857,12
"67",3936,12
"68",3975,12
"69",3985,12
"70",4009,12
"71",4011,12
"72",4016,12
"73",4023,12
"74",4025,12
"75",4036,12
