"","init_node","num_step"
"1",12,130
"2",13,228
"3",16,69
"4",19,35
"5",38,225
"6",44,127
"7",75,5
"8",115,221
"9",210,50
"10",211,189
"11",216,106
"12",288,130
"13",293,161
"14",336,122
"15",359,174
"16",448,237
"17",551,109
"18",586,218
"19",603,4
"20",608,139
"21",609,78
"22",614,122
"23",625,222
"24",639,147
"25",669,6
"26",675,113
"27",693,40
"28",802,47
"29",876,170
"30",884,141
"31",892,45
"32",893,50
"33",912,197
"34",919,122
"35",1097,162
"36",1120,237
"37",1146,184
"38",1207,66
"39",1387,66
"40",1467,193
"41",1561,265
"42",1582,211
"43",1835,189
"44",2080,1
"45",2196,1
"46",2270,1
"47",2458,1
"48",2471,1
"49",2570,1
"50",2597,1
"51",2843,269
"52",3032,304
"53",3072,97
"54",3184,142
"55",3231,5
"56",3452,230
"57",3454,47
"58",3571,74
"59",3651,207
"60",3710,56
"61",3730,141
"62",3749,41
"63",3799,7
"64",3821,60
"65",3854,75
"66",3857,96
"67",3936,22
"68",3975,68
"69",3985,176
"70",4009,44
"71",4011,201
"72",4016,202
"73",4023,10
"74",4025,44
"75",4036,17
