,sm,pow
1,21,3937.22222222222
2,22,3931.85074626866
3,23,3932.93506493506
4,24,3936.14285714286
5,25,3935.28571428571
6,26,3936.64406779661
7,27,3941.85185185185
8,28,3939.52631578947
9,29,3925.04347826087
10,30,3941.71875
11,31,3929.21428571429
12,32,3947.4375
13,33,3937.63291139241
14,34,3940.53333333333
15,35,3935.27160493827
16,36,3937.94444444444
17,37,3928.95238095238
18,38,3928.3
19,39,3943.83333333333
20,40,3935.71428571429
21,41,3910
22,42,3933.33333333333
23,43,3930.30588235294
24,44,3943.25
25,45,3921.66666666667
26,46,3910.22222222222
27,47,3947
28,48,3913.66666666667
29,49,3942.57142857143
30,50,3939.63636363636
31,51,3932.75
32,52,3946
33,53,3939.5
34,54,3933
35,55,3927.14285714286
36,56,3913.33333333333
37,57,3947.5
38,58,3914.83333333333
39,59,3944.4
40,60,3949.5
41,61,3924.15384615385
42,62,3952.75
43,63,3944.5
44,64,3940.42857142857
45,65,3946.81818181818
46,66,3937.11111111111
47,67,3929
48,68,3944.85714285714
49,69,3938
50,70,3931
51,71,3938
52,72,3947
53,73,3952
54,74,3889
55,75,3940
56,76,3947
57,77,3904
58,78,3930.66666666667
59,79,3931
60,80,3942
61,81,3931
62,82,3895
63,83,3940
64,84,3947
65,85,3946
66,86,3949
67,87,3946
68,88,3952
69,89,3948
70,90,3946
71,91,3951
72,92,3940.5
73,93,3942.66666666667
74,94,3940
75,95,3931.28571428571
76,96,3933.93037974684
