,sm,pow
1,16,3937.22222222222
2,17,3931.85074626866
3,18,3932.93506493506
4,19,3936.14285714286
5,20,3935.28571428571
6,16,3936.64406779661
7,17,3941.85185185185
8,18,3939.52631578947
9,19,3925.04347826087
10,20,3941.71875
11,16,3929.21428571429
12,17,3947.4375
13,18,3937.63291139241
14,19,3940.53333333333
15,20,3935.27160493827
16,16,3937.94444444444
17,17,3928.95238095238
18,18,3928.3
19,19,3943.83333333333
20,20,3935.71428571429
21,16,3910
22,17,3933.33333333333
23,18,3930.30588235294
24,19,3943.25
25,20,3921.66666666667
26,16,3910.22222222222
27,17,3947
28,18,3913.66666666667
29,19,3942.57142857143
30,20,3939.63636363636
31,16,3932.75
32,17,3946
33,18,3939.5
34,19,3933
35,20,3927.14285714286
36,16,3913.33333333333
37,17,3947.5
38,18,3914.83333333333
39,19,3944.4
40,20,3949.5
41,16,3924.15384615385
42,17,3952.75
43,18,3944.5
44,19,3940.42857142857
45,20,3946.81818181818
46,16,3937.11111111111
47,17,3929
48,18,3944.85714285714
49,19,3938
50,20,3931
51,16,3938
52,17,3947
53,18,3952
54,19,3889
55,20,3940
56,16,3947
57,17,3904
58,18,3930.66666666667
59,19,3931
60,20,3942
61,16,3931
62,17,3895
63,18,3940
64,19,3947
65,20,3946
66,16,3949
67,17,3946
68,18,3952
69,19,3948
70,20,3946
71,16,3951
72,17,3940.5
73,18,3942.66666666667
74,19,3940
75,20,3931.28571428571
76,16,3933.93037974684
